fold,region,family,feature,true_y_ic,d0_prediction_ic,d0_true_y_ic,partial_true_y_ic_given_d0,finite_days
F3,top20,volatility,parkinson_20,0.031918955,0.038062727,0.060573246,0.030125548,242
F3,top20,volatility,parkinson_60,0.028573813,0.032024069,0.058107403,0.026685573,242
F3,top20,volatility,gkvol_5,0.020820970,0.030710741,0.062213956,0.019299459,242
F3,top20,volatility,gkvol_10,0.025494436,0.032732812,0.061083283,0.023865923,242
F3,top20,volatility,gkvol_20,0.030631663,0.027301277,0.060573246,0.029540851,242
F3,top20,volatility,gkvol_60,0.027702644,0.026490292,0.058107403,0.026172592,242
F3,top20,volatility,atr_5,0.030001455,0.065338637,0.062030123,0.025873635,242
F3,top20,volatility,atr_10,0.027299266,0.048651295,0.061033696,0.024440363,242
F3,top20,volatility,atr_20,0.026961163,0.026089258,0.060533894,0.025930594,242
F3,top20,volatility,atr_60,0.015347468,0.002699583,0.058058570,0.015442058,242
F3,top20,volume_price,corr_ret_dlogvol_5,-0.003588503,-0.027605234,0.062026340,-0.000203083,242
F3,top20,volume_price,corr_ret_dlogvol_20,-0.009113727,-0.039202789,0.060533894,-0.004291308,242
F3,top20,volume_price,corr_ret_dlogamt_5,-0.003223150,-0.023731702,0.062026340,-0.000204744,242
F3,top20,volume_price,corr_ret_dlogamt_20,-0.007093879,-0.035846071,0.060533894,-0.002537808,242
F3,middle60,volatility,stdret_5,-0.022818217,-0.127978438,0.046362016,-0.016581078,242
F3,middle60,volatility,stdret_10,-0.018890974,-0.148602989,0.046359541,-0.012063164,242
F3,middle60,volatility,stdret_20,-0.013665460,-0.149418199,0.046182552,-0.006023697,242
F3,middle60,volatility,stdret_60,-0.007183088,-0.124592132,0.046050084,-0.000184975,242
F3,middle60,volatility,downvol_5,-0.027073830,-0.021815255,0.046362016,-0.025943198,242
F3,middle60,volatility,downvol_10,-0.007969554,-0.067205645,0.046359541,-0.004785689,242
F3,middle60,volatility,downvol_20,-0.006252485,-0.082916722,0.046182552,-0.001812003,242
F3,middle60,volatility,downvol_60,-0.002032899,-0.085700603,0.046050084,0.002663317,242
