region,feature,family,F1,F2,F3,mean_residual_ic,median_residual_ic,same_direction_3of3,at_least_2_folds_abs_ic_ge_0_01,stable_meaningful,abs_mean_residual_ic,mean_d0_prediction_ic
middle60,ma_5_over_20__csr_d0,cross_section_rank,0.043009998,-0.030651201,0.052229705,0.021529501,0.043009998,False,True,False,0.021529501,-0.065871771
middle60,rsv_60__csr_d0,cross_section_rank,0.039235312,-0.018620497,0.043798574,0.021471130,0.039235312,False,True,False,0.021471130,-0.073553011
middle60,csr_illiq_20,cross_section_rank,-0.025331860,0.014133419,-0.051838941,-0.021012461,-0.025331860,False,True,False,0.021012461,0.090008015
middle60,gap_open__csr_d0,cross_section_rank,-0.019437211,-0.013634013,-0.028584879,-0.020552034,-0.019437211,True,True,True,0.020552034,0.045684073
middle60,kup__csr_d0,cross_section_rank,0.027435648,0.015593310,0.015967764,0.019665574,0.015967764,True,True,True,0.019665574,-0.087134673
middle60,ma_20_over_60__csr_d0,cross_section_rank,0.027256058,-0.009542625,0.033496877,0.017070103,0.027256058,False,True,False,0.017070103,-0.064821021
middle60,distmax_20__csr_d0,cross_section_rank,0.001988493,-0.058779010,0.009059332,-0.015910395,0.001988493,False,False,False,0.015910395,0.030542660
middle60,ksft,kbar,0.069334359,0.095755856,0.107149514,0.090746576,0.095755856,True,True,True,0.090746576,-0.175848063
middle60,ksft2,kbar,0.063969909,0.096000844,0.107015740,0.088995498,0.096000844,True,True,True,0.088995498,-0.176081984
middle60,klen,kbar,0.077292363,0.098784688,0.061668813,0.079248621,0.077292363,True,True,True,0.079248621,-0.212999024
middle60,klow,kbar,0.070237622,0.077590831,0.081647275,0.076491909,0.077590831,True,True,True,0.076491909,-0.188916280
middle60,kmid,kbar,0.058700562,0.076762444,0.092259136,0.075907381,0.076762444,True,True,True,0.075907381,-0.153826290
middle60,kmid2,kbar,0.052754342,0.075581416,0.080058886,0.069464881,0.075581416,True,True,True,0.069464881,-0.142970960
middle60,gap_high,kbar,0.048131210,0.069253120,0.048880410,0.055421580,0.048880410,True,True,True,0.055421580,-0.137617928
middle60,klow2,kbar,0.027841947,0.028032825,0.053896552,0.036590441,0.028032825,True,True,True,0.036590441,-0.079777104
middle60,gap_open,kbar,-0.019437211,-0.013634013,-0.028584879,-0.020552034,-0.019437211,True,True,True,0.020552034,0.045684073
middle60,kup2,kbar,-0.010639832,-0.032357588,-0.016876204,-0.019957875,-0.016876204,True,True,True,0.019957875,0.015042656
middle60,kup,kbar,0.027435648,0.015593310,0.015967764,0.019665574,0.015967764,True,True,True,0.019665574,-0.087134673
