trade_date,prediction_spearman,top10_jaccard,top10_overlap,top_size,intersection,top10_exclusive_union_fraction,top10_per_model_exclusive_fraction
20230913,0.75376504471589412,0.3811659192825112,0.55194805194805197,462,255,0.6188340807174888,0.44805194805194803
20230914,0.77786536329645739,0.30042313117066288,0.46203904555314534,461,213,0.69957686882933712,0.53796095444685466
20230915,0.7899289180295852,0.42414860681114552,0.59565217391304348,460,274,0.57585139318885448,0.40434782608695652
20230918,0.77979403607468845,0.40366972477064222,0.57516339869281041,459,264,0.59633027522935778,0.42483660130718959
20230919,0.77759875950538959,0.35588235294117648,0.52494577006507592,461,242,0.64411764705882346,0.47505422993492408
20230920,0.72956346686251983,0.36189069423929099,0.53145336225596529,461,245,0.63810930576070901,0.46854663774403471
20230921,0.78047849999161445,0.44827586206896552,0.61904761904761907,462,286,0.55172413793103448,0.38095238095238093
20230922,0.75516781624483897,0.34795321637426901,0.51626898047722347,461,238,0.65204678362573099,0.48373101952277653
20230925,0.78124363197432878,0.41500765696784075,0.58658008658008653,462,271,0.5849923430321593,0.41341991341991347
20230926,0.79499605821311747,0.45886075949367089,0.6290672451193059,461,290,0.54113924050632911,0.3709327548806941
20230927,0.78942456240128522,0.44287949921752739,0.61388286334056397,461,283,0.55712050078247266,0.38611713665943603
20230928,0.81679634331043449,0.63701067615658358,0.77826086956521734,460,358,0.36298932384341642,0.22173913043478266
20231009,0.88725385722708838,0.63571428571428568,0.77729257641921401,458,356,0.36428571428571432,0.22270742358078599
20231010,0.82186970926573433,0.65467625899280579,0.79130434782608694,460,364,0.34532374100719421,0.20869565217391306
20231011,0.83618324359191909,0.62544169611307421,0.76956521739130435,460,354,0.37455830388692579,0.23043478260869565
20231012,0.74412458363898393,0.35190615835777128,0.52060737527114964,461,240,0.64809384164222872,0.47939262472885036
20231013,0.88463369843573303,0.67636363636363639,0.80694143167028198,461,372,0.32363636363636361,0.19305856832971802
20231016,0.85648045475014067,0.61837455830388688,0.76419213973799127,458,350,0.38162544169611312,0.23580786026200873
20231017,0.77585139606879072,0.4228395061728395,0.59436008676789587,461,274,0.5771604938271605,0.40563991323210413
20231018,0.83257172836752646,0.66064981949458479,0.79565217391304344,460,366,0.33935018050541521,0.20434782608695656
20231019,0.74360201675414772,0.39788199697428139,0.56926406926406925,462,263,0.60211800302571861,0.43073593073593075
20231020,0.80641615437278114,0.66064981949458479,0.79565217391304344,460,366,0.33935018050541521,0.20434782608695656
20231023,0.80564035045544846,0.5418060200668896,0.70281995661605201,461,324,0.4581939799331104,0.29718004338394799
20231024,0.79016278600379497,0.36920777279521672,0.5393013100436681,458,247,0.63079222720478323,0.4606986899563319
20231025,0.85757510440975204,0.56506849315068497,0.72210065645514221,457,330,0.43493150684931503,0.27789934354485779
20231026,0.85703051924735063,0.58620689655172409,0.73913043478260865,460,340,0.41379310344827591,0.26086956521739135
20231027,0.88792420987262521,0.61484098939929333,0.76148796498905913,457,348,0.38515901060070667,0.23851203501094087
20231030,0.83636820559301794,0.60915492957746475,0.75711159737417943,457,346,0.39084507042253525,0.24288840262582057
20231031,0.88481234289908117,0.6428571428571429,0.78260869565217395,460,360,0.3571428571428571,0.21739130434782605
20231101,0.8468842144732438,0.58075601374570451,0.73478260869565215,460,338,0.41924398625429549,0.26521739130434785
20231102,0.87419849355043544,0.63185840707964602,0.77440347071583515,461,357,0.36814159292035398,0.22559652928416485
20231103,0.8187497316285528,0.45339652448657186,0.62391304347826082,460,287,0.54660347551342814,0.37608695652173918
20231106,0.81446739055943063,0.43573667711598746,0.60698689956331875,458,278,0.5642633228840126,0.39301310043668125
20231107,0.80676634124754643,0.41013824884792627,0.5816993464052288,459,267,0.58986175115207373,0.4183006535947712
20231108,0.83483747444259504,0.56655290102389078,0.72331154684095855,459,332,0.43344709897610922,0.27668845315904145
20231109,0.85660634625831777,0.60627177700348434,0.75488069414316705,461,348,0.39372822299651566,0.24511930585683295
20231110,0.81397389984930013,0.47284345047923321,0.64208242950108463,461,296,0.52715654952076685,0.35791757049891537
20231113,0.82493020058019029,0.45800316957210774,0.62826086956521743,460,289,0.54199683042789226,0.37173913043478257
20231114,0.8234075260545296,0.43974960876369329,0.61086956521739133,460,281,0.56025039123630671,0.38913043478260867
20231115,0.81142676404128333,0.4254658385093168,0.59694989106753815,459,274,0.57453416149068315,0.40305010893246185
20231116,0.82260184698584404,0.62610229276895946,0.77006507592190887,461,355,0.37389770723104054,0.22993492407809113
20231117,0.80471165674554934,0.38345864661654133,0.55434782608695654,460,255,0.61654135338345872,0.44565217391304346
20231120,0.84486433285539242,0.576592082616179,0.73144104803493448,458,335,0.423407917383821,0.26855895196506552
20231121,0.82425435327354879,0.62765957446808507,0.77124183006535951,459,354,0.37234042553191493,0.22875816993464049
20231122,0.905475203903645,0.59652173913043482,0.74727668845315909,459,343,0.40347826086956518,0.25272331154684091
20231123,0.8331065822092425,0.47199999999999998,0.64130434782608692,460,295,0.52800000000000002,0.35869565217391308
20231124,0.79537305032123606,0.40548780487804881,0.57700650759219085,461,266,0.59451219512195119,0.42299349240780915
20231127,0.83437779909429222,0.66666666666666663,0.80000000000000004,460,368,0.33333333333333337,0.19999999999999996
20231128,0.81122316342008283,0.35893648449039883,0.52826086956521734,460,243,0.64106351550960117,0.47173913043478266
20231129,0.80207625316022069,0.43613707165109034,0.6073752711496746,461,280,0.56386292834890961,0.3926247288503254
20231130,0.79624226360191552,0.40853658536585363,0.58008658008658009,462,268,0.59146341463414642,0.41991341991341991
20231201,0.79965952756969261,0.39726027397260272,0.56862745098039214,459,261,0.60273972602739723,0.43137254901960786
20231204,0.83746894533291061,0.62477876106194685,0.76906318082788672,459,353,0.37522123893805315,0.23093681917211328
20231205,0.81307774637586316,0.44514106583072099,0.61605206073752716,461,284,0.55485893416927901,0.38394793926247284
20231206,0.80124249517250379,0.41628264208909371,0.5878524945770065,461,271,0.58371735791090629,0.4121475054229935
20231207,0.85356738986913894,0.68190127970749548,0.81086956521739129,460,373,0.31809872029250452,0.18913043478260871
20231208,0.85553367390788559,0.67941712204007287,0.80911062906724507,461,373,0.32058287795992713,0.19088937093275493
20231211,0.79313124477663277,0.42945736434108528,0.60086767895878523,461,277,0.57054263565891472,0.39913232104121477
20231212,0.78401479248754546,0.36810730253353202,0.53812636165577343,459,247,0.63189269746646803,0.46187363834422657
20231213,0.82116525138023955,0.48709677419354841,0.65509761388286336,461,302,0.51290322580645165,0.34490238611713664
20231214,0.78359457046028447,0.43974960876369329,0.61086956521739133,460,281,0.56025039123630671,0.38913043478260867
20231215,0.81506051232494114,0.43302180685358255,0.60434782608695647,460,278,0.56697819314641751,0.39565217391304353
20231218,0.80733122508654664,0.46581875993640698,0.63557483731019526,461,293,0.53418124006359302,0.36442516268980474
20231219,0.76642330943400927,0.37202380952380953,0.54229934924078094,461,250,0.62797619047619047,0.45770065075921906
20231220,0.78887010868070917,0.36592592592592593,0.53579175704989157,461,247,0.63407407407407401,0.46420824295010843
20231221,0.7611270724388044,0.3209169054441261,0.48590021691973967,461,224,0.6790830945558739,0.51409978308026028
20231222,0.8488565659153382,0.59310344827586203,0.74458874458874458,462,344,0.40689655172413797,0.25541125541125542
20231225,0.84201403385612839,0.63765541740674958,0.77874186550976143,461,359,0.36234458259325042,0.22125813449023857
20231226,0.82559157539477079,0.66365280289330919,0.79782608695652169,460,367,0.33634719710669081,0.20217391304347831
20231227,0.78507755902448584,0.40548780487804881,0.57700650759219085,461,266,0.59451219512195119,0.42299349240780915
20231228,0.78034945452357329,0.43348982785602502,0.60480349344978168,458,277,0.56651017214397492,0.39519650655021832
20231229,0.81230491610135869,0.45541401273885351,0.62582056892778992,457,286,0.54458598726114649,0.37417943107221008
