trade_date,rows,finite_predictions,nonfinite_predictions,finite_labels,ic_rows,return_eligible_rows,turnover_eligible_rows,return_top_count,return_bottom_count,turnover_top_count,rank_ic,top_return,top_excess,top_bottom_spread,turnover
20220823,4650,4281,369,4281,4280,4203,4204,421,420,421,-0.042796989175666086,-0.035379997017001709,-0.005770148967087458,-0.0042566129014540363,0.91902313624678666
20220824,4650,4281,369,4281,4280,4245,4246,425,424,425,0.31932288097993089,0.00058044778241937657,0.0034593565020916693,0.021902306504678781,0.93181818181818188
20220825,4650,4281,369,4282,4280,4212,4213,422,421,422,-0.012511210486648829,-0.014662579280381234,-0.0099178069520403644,-0.0037622647823763542,0.88990825688073394
20220826,4650,4282,368,4283,4282,4237,4237,424,423,424,-0.067074257225730585,0.0066594297918440128,-0.0010074050901731184,-0.0010607302501552413,0.9438202247191011
20220829,4650,4283,367,4284,4282,4218,4219,422,421,422,-0.13662679309650325,-0.01345680597328654,-0.010721178532366335,-0.010429691906441508,0.92229299363057327
20220830,4650,4284,366,4285,4284,4238,4238,424,423,424,0.36351837570977275,-0.019927293078311065,0.00655596669399049,0.028913425704757301,0.96196319018404908
20220831,4650,4285,365,4284,4283,4249,4251,425,424,426,0.021095156260472255,-0.010572338758897662,-0.006674343062183891,-0.0025265055375447952,0.91994917407878019
20220901,4650,4284,366,4284,4284,4239,4239,424,423,424,-0.17934906081116483,0.0020500361533424896,-0.011107096464385381,-0.017099595314647224,0.93617021276595747
20220902,4650,4284,366,4285,4283,4220,4221,422,422,423,-0.097784197200446996,2.6958411863340343e-05,-0.0035018719811464737,-0.0029716363180254004,0.95561035758323054
20220905,4650,4285,365,4285,4284,4224,4224,423,422,423,0.04525475634758977,0.016834267410951995,0.0038305153438916006,0.0061568770521500931,0.93450881612090675
20220906,4650,4285,365,4285,4285,4218,4218,422,421,422,0.22077643171496431,0.011892908260971011,0.0093694643425165369,0.014521248119823648,0.90685640362225095
20220907,4650,4285,365,4285,4285,4220,4220,422,422,422,-0.1189920769387942,-0.013843606579170289,-0.004941363699658384,-0.004298778830965749,0.88211920529801324
20220908,4650,4285,365,4286,4285,4234,4234,424,423,424,0.027058122181614085,-0.0069423163782908817,-0.0072382539777644242,-0.00048344110558779484,0.92639593908629436
20220909,4650,4286,364,4284,4284,4237,4238,424,423,424,-0.063460840096476637,2.0481141308122697e-05,-0.0025312356102948513,-0.0032927923333188778,0.93734335839599003
20220913,4650,4284,366,4283,4283,4224,4224,423,422,423,0.10161632774553667,-0.007253925919661992,0.0020318168017459028,0.0047324824252887292,0.92101910828025479
20220914,4650,4283,367,4280,4279,4242,4245,425,424,425,0.23465280135869984,-0.022735523579489072,-0.00016191373834315709,0.011728773637654333,0.894393741851369
20220915,4650,4280,370,4279,4278,4242,4244,425,424,425,-0.20673613123559464,-0.033482705708315685,-0.0079859581999776816,-0.01594285974345773,0.92812105926860022
20220916,4650,4279,371,4280,4277,4253,4255,426,425,426,-0.042609169897641672,-0.015101311972775531,-0.0030298001540813562,-0.0021111189569029288,0.93491864831038796
20220919,4650,4280,370,4282,4280,4244,4244,425,424,425,-0.13422794675184924,0.011410315893664083,-0.0035540584035658618,-0.0070093133526564228,0.90897435897435896
20220920,4650,4282,368,4283,4282,4218,4218,422,421,422,-0.037392849574213703,-0.00056494314917535505,-0.0046018420364819087,0.00041679855346884597,0.93592964824120606
20220921,4650,4283,367,4283,4281,4241,4243,425,424,425,-0.026628910519437891,-0.004128740607515986,0.00072642458354662664,-0.0012746972388454295,0.9491315136476427
